Accession,Phages/Bacteria,Dataset type
NC_017372,Bacteria,Pre-training
NC_017442,Bacteria,Pre-training
NC_017443,Bacteria,Pre-training
NC_017444,Bacteria,Pre-training
NC_017445,Bacteria,Pre-training
NC_017446,Bacteria,Pre-training
NC_017447,Bacteria,Pre-training
NC_017463,Bacteria,Pre-training
NC_017469,Bacteria,Pre-training
NC_017503,Bacteria,Pre-training
NC_017544,Bacteria,Pre-training
NC_017618,Bacteria,Pre-training
NC_017622,Bacteria,Pre-training
NC_017646,Bacteria,Pre-training
NC_017647,Bacteria,Pre-training
NC_017648,Bacteria,Pre-training
NC_017649,Bacteria,Pre-training
NC_017650,Bacteria,Pre-training
NC_017672,Bacteria,Pre-training
NC_017857,Bacteria,Pre-training
NC_017960,Bacteria,Pre-training
NC_017961,Bacteria,Pre-training
NC_017962,Bacteria,Pre-training
NC_017963,Bacteria,Pre-training
NC_018022,Bacteria,Pre-training
NC_018023,Bacteria,Pre-training
NC_018024,Bacteria,Pre-training
NC_018027,Bacteria,Pre-training
NC_018287,Bacteria,Pre-training
NC_018288,Bacteria,Pre-training
NC_018290,Bacteria,Pre-training
NC_018291,Bacteria,Pre-training
NC_018485,Bacteria,Pre-training
NC_018491,Bacteria,Pre-training
NC_018492,Bacteria,Pre-training
NC_018493,Bacteria,Pre-training
NC_018494,Bacteria,Pre-training
NC_018499,Bacteria,Pre-training
NC_018507,Bacteria,Pre-training
NC_018593,Bacteria,Pre-training
NC_018622,Bacteria,Pre-training
NC_018640,Bacteria,Pre-training
NC_018658,Bacteria,Pre-training
NC_018659,Bacteria,Pre-training
NC_018660,Bacteria,Pre-training
NC_018666,Bacteria,Pre-training
NC_018678,Bacteria,Pre-training
NC_018691,Bacteria,Pre-training
NC_019537,Bacteria,Pre-training
NC_019682,Bacteria,Pre-training
NC_019689,Bacteria,Pre-training
NC_019776,Bacteria,Pre-training
NC_019777,Bacteria,Pre-training
NC_019903,Bacteria,Pre-training
NC_020419,Bacteria,Pre-training
NC_020420,Bacteria,Pre-training
NC_020421,Bacteria,Pre-training
NC_020422,Bacteria,Pre-training
NC_020450,Bacteria,Pre-training
NC_020510,Bacteria,Pre-training
NC_020521,Bacteria,Pre-training
NC_020522,Bacteria,Pre-training
NC_020525,Bacteria,Pre-training
NC_020542,Bacteria,Pre-training
NC_020543,Bacteria,Pre-training
NC_020544,Bacteria,Pre-training
NC_020546,Bacteria,Pre-training
NC_020547,Bacteria,Pre-training
NC_020555,Bacteria,Pre-training
NC_020561,Bacteria,Pre-training
NC_020562,Bacteria,Pre-training
NC_020563,Bacteria,Pre-training
NC_020797,Bacteria,Pre-training
NC_020798,Bacteria,Pre-training
NC_020800,Bacteria,Pre-training
NC_020801,Bacteria,Pre-training
NC_020812,Bacteria,Pre-training
NC_021003,Bacteria,Pre-training
NC_021082,Bacteria,Pre-training
NC_021219,Bacteria,Pre-training
NC_021485,Bacteria,Pre-training
NC_021552,Bacteria,Pre-training
NC_021554,Bacteria,Pre-training
NC_021663,Bacteria,Pre-training
NC_021714,Bacteria,Pre-training
NC_021723,Bacteria,Pre-training
NC_021725,Bacteria,Pre-training
NC_021739,Bacteria,Pre-training
NC_021820,Bacteria,Pre-training
NC_021825,Bacteria,Pre-training
NC_021831,Bacteria,Pre-training
NC_021893,Bacteria,Pre-training
NC_021902,Bacteria,Pre-training
NC_021915,Bacteria,Pre-training
NC_021920,Bacteria,Pre-training
NC_022111,Bacteria,Pre-training
NC_022124,Bacteria,Pre-training
NC_022222,Bacteria,Pre-training
NC_022516,Bacteria,Pre-training
NC_022535,Bacteria,Pre-training
NC_022536,Bacteria,Pre-training
NC_022538,Bacteria,Pre-training
NC_022545,Bacteria,Pre-training
NC_022576,Bacteria,Pre-training
NC_022657,Bacteria,Pre-training
NC_022795,Bacteria,Pre-training
NZ_AM412059,Bacteria,Pre-training
NZ_AP012332,Bacteria,Pre-training
NZ_AP012333,Bacteria,Pre-training
NZ_AP012496,Bacteria,Pre-training
NZ_AP012547,Bacteria,Pre-training
NZ_AP013035,Bacteria,Pre-training
NZ_AP013044,Bacteria,Pre-training
NZ_AP013353,Bacteria,Pre-training
NZ_AP014510,Bacteria,Pre-training
NZ_AP014584,Bacteria,Pre-training
NZ_AP014608,Bacteria,Pre-training
NZ_AP014637,Bacteria,Pre-training
NZ_AP014690,Bacteria,Pre-training
NZ_AP014855,Bacteria,Pre-training
NZ_AP017313,Bacteria,Pre-training
NZ_AP017369,Bacteria,Pre-training
NZ_AP017372,Bacteria,Pre-training
NZ_AP017375,Bacteria,Pre-training
NZ_AP017376,Bacteria,Pre-training
NZ_AP017649,Bacteria,Pre-training
NZ_AP017891,Bacteria,Pre-training
NZ_AP017896,Bacteria,Pre-training
NZ_AP017928,Bacteria,Pre-training
NZ_AP017971,Bacteria,Pre-training
NZ_AP018035,Bacteria,Pre-training
NZ_AP018052,Bacteria,Pre-training
NZ_AP018337,Bacteria,Pre-training
NZ_AP018436,Bacteria,Pre-training
NZ_AP018515,Bacteria,Pre-training
NZ_AP018516,Bacteria,Pre-training
NZ_AP018538,Bacteria,Pre-training
NZ_AP018539,Bacteria,Pre-training
NZ_AP018540,Bacteria,Pre-training
NZ_AP018541,Bacteria,Pre-training
NZ_AP018543,Bacteria,Pre-training
NZ_AP018544,Bacteria,Pre-training
NZ_AP018545,Bacteria,Pre-training
NZ_AP018546,Bacteria,Pre-training
NZ_AP018547,Bacteria,Pre-training
NZ_AP018750,Bacteria,Pre-training
NZ_AP018751,Bacteria,Pre-training
NZ_AP018752,Bacteria,Pre-training
NZ_AP018933,Bacteria,Pre-training
NZ_AP018934,Bacteria,Pre-training
NZ_AP019531,Bacteria,Pre-training
NZ_AP019532,Bacteria,Pre-training
NZ_AP019657,Bacteria,Pre-training
NZ_AP019658,Bacteria,Pre-training
NZ_AP019659,Bacteria,Pre-training
NZ_AP019665,Bacteria,Pre-training
NZ_AP019666,Bacteria,Pre-training
NZ_AP019667,Bacteria,Pre-training
NZ_AP019668,Bacteria,Pre-training
NZ_AP019714,Bacteria,Pre-training
NZ_AP019715,Bacteria,Pre-training
NZ_AP019735,Bacteria,Pre-training
NZ_AP019796,Bacteria,Pre-training
NZ_AP019797,Bacteria,Pre-training
NZ_AP019835,Bacteria,Pre-training
NZ_AP019836,Bacteria,Pre-training
NZ_AP019837,Bacteria,Pre-training
NZ_AP019838,Bacteria,Pre-training
NZ_AP019839,Bacteria,Pre-training
NZ_AP019840,Bacteria,Pre-training
NZ_AP019853,Bacteria,Pre-training
NZ_AP019854,Bacteria,Pre-training
NZ_AP019855,Bacteria,Pre-training
NZ_AP020318,Bacteria,Pre-training
NZ_AP020319,Bacteria,Pre-training
NZ_AP021853,Bacteria,Pre-training
NZ_AP021861,Bacteria,Pre-training
NZ_AP021875,Bacteria,Pre-training
NZ_AP021903,Bacteria,Pre-training
NZ_AP021914,Bacteria,Pre-training
NZ_AP021915,Bacteria,Pre-training
NZ_AP021916,Bacteria,Pre-training
NZ_AP021946,Bacteria,Pre-training
NZ_AP021947,Bacteria,Pre-training
NZ_AP021948,Bacteria,Pre-training
NZ_AP021949,Bacteria,Pre-training
NZ_AP022020,Bacteria,Pre-training
NZ_AP022021,Bacteria,Pre-training
NZ_AP022022,Bacteria,Pre-training
NZ_AP022023,Bacteria,Pre-training
NZ_AP022024,Bacteria,Pre-training
NZ_AP022025,Bacteria,Pre-training
NZ_AP022026,Bacteria,Pre-training
NZ_AP022027,Bacteria,Pre-training
NZ_AP022028,Bacteria,Pre-training
NZ_AP022029,Bacteria,Pre-training
NZ_AP022044,Bacteria,Pre-training
NZ_AP022045,Bacteria,Pre-training
NZ_AP022046,Bacteria,Pre-training
NZ_AP022047,Bacteria,Pre-training
NZ_AP022048,Bacteria,Pre-training
NZ_AP022195,Bacteria,Pre-training
NZ_AP022196,Bacteria,Pre-training
NZ_AP022197,Bacteria,Pre-training
NZ_AP022198,Bacteria,Pre-training
NZ_AP022199,Bacteria,Pre-training
NZ_AP022200,Bacteria,Pre-training
NZ_AP022215,Bacteria,Pre-training
NZ_AP022216,Bacteria,Pre-training
NZ_AP022217,Bacteria,Pre-training
NZ_AP022218,Bacteria,Pre-training
NZ_AP022219,Bacteria,Pre-training
NZ_AP022220,Bacteria,Pre-training
NZ_AP022295,Bacteria,Pre-training
NZ_AP022296,Bacteria,Pre-training
NZ_AP022297,Bacteria,Pre-training
NZ_AP022446,Bacteria,Pre-training
NZ_AP022447,Bacteria,Pre-training
NZ_AP022448,Bacteria,Pre-training
NZ_AP022449,Bacteria,Pre-training
NZ_AP022450,Bacteria,Pre-training
NZ_AP022451,Bacteria,Pre-training
NZ_AP022478,Bacteria,Pre-training
NZ_AP022479,Bacteria,Pre-training
NZ_AP022480,Bacteria,Pre-training
NZ_AP022481,Bacteria,Pre-training
NZ_AP022494,Bacteria,Pre-training
NZ_AP022495,Bacteria,Pre-training
NZ_AP022496,Bacteria,Pre-training
NZ_AP022497,Bacteria,Pre-training
NZ_AP022577,Bacteria,Pre-training
NZ_AP022578,Bacteria,Pre-training
NZ_AP022579,Bacteria,Pre-training
NZ_AP022580,Bacteria,Pre-training
NZ_AP022603,Bacteria,Pre-training
NZ_AP022616,Bacteria,Pre-training
NZ_AP022830,Bacteria,Pre-training
NZ_AP022831,Bacteria,Pre-training
NZ_AP022832,Bacteria,Pre-training
NZ_AP022833,Bacteria,Pre-training
NZ_AP022847,Bacteria,Pre-training
NZ_AP022871,Bacteria,Pre-training
NZ_AP023071,Bacteria,Pre-training
NZ_AP023072,Bacteria,Pre-training
NZ_AP023212,Bacteria,Pre-training
NZ_AP023242,Bacteria,Pre-training
NZ_AP023354,Bacteria,Pre-training
NZ_AP023367,Bacteria,Pre-training
NZ_AP023394,Bacteria,Pre-training
NZ_AP023395,Bacteria,Pre-training
NZ_AP024136,Bacteria,Pre-training
NZ_AP024137,Bacteria,Pre-training
NZ_AP024138,Bacteria,Pre-training
NZ_AP024139,Bacteria,Pre-training
NZ_AP024140,Bacteria,Pre-training
NZ_AP024141,Bacteria,Pre-training
NZ_AP024170,Bacteria,Pre-training
NZ_AP024171,Bacteria,Pre-training
NZ_AP024173,Bacteria,Pre-training
NZ_AP024174,Bacteria,Pre-training
NZ_AP024175,Bacteria,Pre-training
NZ_AP024176,Bacteria,Pre-training
NZ_AP024177,Bacteria,Pre-training
NZ_AP024178,Bacteria,Pre-training
NZ_AP024179,Bacteria,Pre-training
NZ_AP024180,Bacteria,Pre-training
NZ_AP024235,Bacteria,Pre-training
NZ_AP024255,Bacteria,Pre-training
NZ_AP024256,Bacteria,Pre-training
NZ_AP024262,Bacteria,Pre-training
NZ_AP024263,Bacteria,Pre-training
NZ_AP024265,Bacteria,Pre-training
NZ_AP024342,Bacteria,Pre-training
NZ_AP024489,Bacteria,Pre-training
NZ_AP024498,Bacteria,Pre-training
NZ_AP024499,Bacteria,Pre-training
NZ_AP024500,Bacteria,Pre-training
NZ_CP002007,Bacteria,Pre-training
NZ_CP002697,Bacteria,Pre-training
NZ_CP002698,Bacteria,Pre-training
NZ_CP003560,Bacteria,Pre-training
NZ_CP003561,Bacteria,Pre-training
NZ_CP003562,Bacteria,Pre-training
NZ_CP003709,Bacteria,Pre-training
NZ_CP003710,Bacteria,Pre-training
NZ_CP003711,Bacteria,Pre-training
NZ_CP003712,Bacteria,Pre-training
NZ_CP003713,Bacteria,Pre-training
NZ_CP003714,Bacteria,Pre-training
NZ_CP003915,Bacteria,Pre-training
NZ_CP003916,Bacteria,Pre-training
NZ_CP004388,Bacteria,Pre-training
NZ_CP004389,Bacteria,Pre-training
NZ_CP004406,Bacteria,Pre-training
NZ_CP004407,Bacteria,Pre-training
NZ_CP004408,Bacteria,Pre-training
NZ_CP005081,Bacteria,Pre-training
NZ_CP005388,Bacteria,Pre-training
NZ_CP005997,Bacteria,Pre-training
NZ_CP006010,Bacteria,Pre-training
NZ_CP006694,Bacteria,Pre-training
NZ_CP006695,Bacteria,Pre-training
NZ_CP006712,Bacteria,Pre-training
NZ_CP006739,Bacteria,Pre-training
NZ_CP006740,Bacteria,Pre-training
NZ_CP006749,Bacteria,Pre-training
NZ_CP006750,Bacteria,Pre-training
NZ_CP006751,Bacteria,Pre-training
NZ_CP006777,Bacteria,Pre-training
NZ_CP006829,Bacteria,Pre-training
NZ_CP006956,Bacteria,Pre-training
NZ_CP006957,Bacteria,Pre-training
NZ_CP007016,Bacteria,Pre-training
NZ_CP007028,Bacteria,Pre-training
NZ_CP007031,Bacteria,Pre-training
NZ_CP007121,Bacteria,Pre-training
NZ_CP007131,Bacteria,Pre-training
NZ_CP007132,Bacteria,Pre-training
NZ_CP007161,Bacteria,Pre-training
NZ_CP007162,Bacteria,Pre-training
NZ_CP007163,Bacteria,Pre-training
NZ_CP007164,Bacteria,Pre-training
NZ_CP007170,Bacteria,Pre-training
NZ_CP007171,Bacteria,Pre-training
NZ_CP007179,Bacteria,Pre-training
NZ_CP007180,Bacteria,Pre-training
NZ_CP007189,Bacteria,Pre-training
NZ_CP007195,Bacteria,Pre-training
NZ_CP007220,Bacteria,Pre-training
NZ_CP007250,Bacteria,Pre-training
NZ_CP007269,Bacteria,Pre-training
NZ_CP007273,Bacteria,Pre-training
NZ_CP007329,Bacteria,Pre-training
NZ_CP007399,Bacteria,Pre-training
NZ_CP007410,Bacteria,Pre-training
NZ_CP007443,Bacteria,Pre-training
NZ_CP007461,Bacteria,Pre-training
NZ_CP007497,Bacteria,Pre-training
NZ_CP007519,Bacteria,Pre-training
NZ_CP007539,Bacteria,Pre-training
NZ_CP007559,Bacteria,Pre-training
NZ_CP007581,Bacteria,Pre-training
NZ_CP007582,Bacteria,Pre-training
NZ_CP007600,Bacteria,Pre-training
NZ_CP007605,Bacteria,Pre-training
NZ_CP007607,Bacteria,Pre-training
NZ_CP007608,Bacteria,Pre-training
NZ_CP007609,Bacteria,Pre-training
NZ_CP007610,Bacteria,Pre-training
NZ_CP007611,Bacteria,Pre-training
NZ_CP007612,Bacteria,Pre-training
NZ_CP007613,Bacteria,Pre-training
NZ_CP007614,Bacteria,Pre-training
NZ_CP007615,Bacteria,Pre-training
NZ_CP007616,Bacteria,Pre-training
NZ_CP007631,Bacteria,Pre-training
NZ_CP007634,Bacteria,Pre-training
NZ_CP007635,Bacteria,Pre-training
NZ_CP007636,Bacteria,Pre-training
NZ_CP007672,Bacteria,Pre-training
NZ_CP007673,Bacteria,Pre-training
NZ_CP007690,Bacteria,Pre-training
NZ_CP007715,Bacteria,Pre-training
NZ_CP007772,Bacteria,Pre-training
NZ_CP007773,Bacteria,Pre-training
NZ_CP007779,Bacteria,Pre-training
NZ_CP007780,Bacteria,Pre-training
NZ_CP007781,Bacteria,Pre-training
NZ_CP008695,Bacteria,Pre-training
NZ_CP008710,Bacteria,Pre-training
NZ_CP008711,Bacteria,Pre-training
NZ_CP008747,Bacteria,Pre-training
NZ_CP008797,Bacteria,Pre-training
NZ_CP008798,Bacteria,Pre-training
NZ_CP008799,Bacteria,Pre-training
NZ_CP008800,Bacteria,Pre-training
NZ_CP008810,Bacteria,Pre-training
NZ_CP008811,Bacteria,Pre-training
NZ_CP008812,Bacteria,Pre-training
NZ_CP008813,Bacteria,Pre-training
NZ_CP008856,Bacteria,Pre-training
NZ_CP008858,Bacteria,Pre-training
NZ_CP008878,Bacteria,Pre-training
NZ_CP008922,Bacteria,Pre-training
NZ_CP008925,Bacteria,Pre-training
NZ_CP008929,Bacteria,Pre-training
NZ_CP008930,Bacteria,Pre-training
NZ_CP008931,Bacteria,Pre-training
NZ_CP008932,Bacteria,Pre-training
NZ_CP008933,Bacteria,Pre-training
NZ_CP008944,Bacteria,Pre-training
NZ_CP008945,Bacteria,Pre-training
NZ_CP009083,Bacteria,Pre-training
NZ_CP009089,Bacteria,Pre-training
NZ_CP009091,Bacteria,Pre-training
NZ_CP009154,Bacteria,Pre-training
NZ_CP009155,Bacteria,Pre-training
NZ_CP009156,Bacteria,Pre-training
NZ_CP009157,Bacteria,Pre-training
NZ_CP009261,Bacteria,Pre-training
NZ_CP009262,Bacteria,Pre-training
NZ_CP009263,Bacteria,Pre-training
NZ_CP009267,Bacteria,Pre-training
NZ_CP009286,Bacteria,Pre-training
NZ_CP009326,Bacteria,Pre-training
NZ_CP009327,Bacteria,Pre-training
NZ_CP009328,Bacteria,Pre-training
NZ_CP009354,Bacteria,Pre-training
NZ_CP009355,Bacteria,Pre-training
NZ_CP009356,Bacteria,Pre-training
NZ_CP009357,Bacteria,Pre-training
NZ_CP009358,Bacteria,Pre-training
NZ_CP009359,Bacteria,Pre-training
NZ_CP009436,Bacteria,Pre-training
NZ_CP009437,Bacteria,Pre-training
NZ_CP009444,Bacteria,Pre-training
NZ_CP009445,Bacteria,Pre-training
NZ_CP009446,Bacteria,Pre-training
NZ_CP009451,Bacteria,Pre-training
NZ_CP009458,Bacteria,Pre-training
NZ_CP009545,Bacteria,Pre-training
NZ_CP009546,Bacteria,Pre-training
NZ_CP009679,Bacteria,Pre-training
NZ_CP009680,Bacteria,Pre-training
NZ_CP009686,Bacteria,Pre-training
NZ_CP009689,Bacteria,Pre-training
NZ_CP009690,Bacteria,Pre-training
NZ_CP009691,Bacteria,Pre-training
NZ_CP009692,Bacteria,Pre-training
NZ_CP009733,Bacteria,Pre-training
NZ_CP009734,Bacteria,Pre-training
NZ_CP009737,Bacteria,Pre-training
NZ_CP009738,Bacteria,Pre-training
NZ_CP009749,Bacteria,Pre-training
NZ_CP009757,Bacteria,Pre-training
NZ_CP009775,Bacteria,Pre-training
NZ_CP009776,Bacteria,Pre-training
NZ_CP009777,Bacteria,Pre-training
NZ_CP009778,Bacteria,Pre-training
NZ_CP009779,Bacteria,Pre-training
NZ_CP009780,Bacteria,Pre-training
NZ_CP009790,Bacteria,Pre-training
NZ_CP009791,Bacteria,Pre-training
NZ_CP009796,Bacteria,Pre-training
NZ_CP009859,Bacteria,Pre-training
NZ_CP009860,Bacteria,Pre-training
NZ_CP009861,Bacteria,Pre-training
NZ_CP009862,Bacteria,Pre-training
NZ_CP009971,Bacteria,Pre-training
NZ_CP009972,Bacteria,Pre-training
NZ_CP009973,Bacteria,Pre-training
