name,category_paper,score_paper,name_v_paper,category_my,score_my,name_v_my
NC_041875,Phage,0.928893327713012,NC_041875.1,Phage,0.869480431079865,NC_041875.1
NC_041876,Phage,0.875925064086914,NC_041876.1,Phage,0.857983827590942,NC_041876.1
NC_041877,Phage,0.884912610054016,NC_041877.1,Phage,0.865836322307587,NC_041877.1
NC_041878,Phage,0.941028773784637,NC_041878.1,Phage,0.955830454826355,NC_041878.1
NC_041879,Phage,0.987985372543335,NC_041879.1,Phage,0.997856199741364,NC_041879.1
NC_041880,Phage,0.995957612991333,NC_041880.1,Phage,0.998555481433868,NC_041880.1
NC_041881,Phage,0.980464518070221,NC_041881.1,Phage,0.981372535228729,NC_041881.1
NC_041882,Phage,0.935940206050872,NC_041882.1,Phage,0.965663313865662,NC_041882.1
NC_041883,Phage,0.886850595474243,NC_041883.1,Phage,0.951149702072144,NC_041883.1
NC_041884,Phage,0.911282241344451,NC_041884.1,Phage,0.91665244102478,NC_041884.1
NC_041885,Phage,0.988658249378204,NC_041885.1,Phage,0.982606291770935,NC_041885.1
NC_041886,Phage,0.946725964546203,NC_041886.1,Phage,0.952330589294434,NC_041886.1
NC_041887,Phage,0.971188127994537,NC_041887.1,Phage,0.977061867713928,NC_041887.1
NC_041888,Phage,0.87416124343872,NC_041888.1,Phage,0.855051338672638,NC_041888.1
NC_041889,Phage,0.958543419837951,NC_041889.1,Phage,0.928328990936279,NC_041889.1
NC_041890,Phage,0.880588889122009,NC_041890.1,Phage,0.977489292621612,NC_041890.1
NC_041891,Phage,0.841908037662506,NC_041891.1,Phage,0.971611201763153,NC_041891.1
NC_041892,Phage,0.884553611278533,NC_041892.1,Phage,0.957411348819733,NC_041892.1
NC_041893,Phage,0.823075532913208,NC_041893.1,Phage,0.953372001647949,NC_041893.1
NC_041894,Phage,0.814985871315002,NC_041894.1,Phage,0.999571144580841,NC_041894.1
NC_041895,Phage,0.889985024929046,NC_041895.1,Phage,0.974660217761993,NC_041895.1
NC_041896,Phage,0.936715245246887,NC_041896.1,Phage,0.951436102390289,NC_041896.1
NC_041897,Phage,0.955696463584899,NC_041897.1,Phage,0.937251091003418,NC_041897.1
NC_041898,Phage,0.958195686340332,NC_041898.1,Phage,0.967023193836212,NC_041898.1
NC_041899,Phage,0.949571907520294,NC_041899.1,Phage,0.961019814014435,NC_041899.1
NC_041900,Phage,0.914995551109314,NC_041900.1,Phage,0.95229035615921,NC_041900.1
NC_041901,Phage,0.950901269912719,NC_041901.1,Phage,0.902857005596161,NC_041901.1
NC_041902,Phage,0.893117606639862,NC_041902.1,Phage,0.887303709983826,NC_041902.1
NC_041903,Phage,0.993223488330841,NC_041903.1,Phage,0.984182476997376,NC_041903.1
NC_041904,Phage,0.982165217399597,NC_041904.1,Phage,0.999538421630859,NC_041904.1
NC_041905,Phage,0.986218869686126,NC_041905.1,Phage,0.998479664325714,NC_041905.1
NC_041906,Phage,0.983927547931671,NC_041906.1,Phage,0.943408787250519,NC_041906.1
NC_041907,Phage,0.994391083717346,NC_041907.1,Phage,0.981847643852234,NC_041907.1
NC_041908,Phage,0.664346277713775,NC_041908.1,Phage,0.778220415115356,NC_041908.1
NC_041909,Phage,0.849878907203674,NC_041909.1,Phage,0.925123751163483,NC_041909.1
NC_041910,Phage,0.975045919418335,NC_041910.1,Phage,0.955309808254242,NC_041910.1
NC_041911,Phage,0.838522732257843,NC_041911.1,Phage,0.894938588142395,NC_041911.1
NC_041912,Phage,0.992223143577575,NC_041912.1,Phage,0.987480342388153,NC_041912.1
NC_041913,Phage,0.944396138191223,NC_041913.1,Phage,0.950426816940308,NC_041913.1
NC_041914,Phage,0.998165249824523,NC_041914.1,Phage,0.987942039966583,NC_041914.1
NC_041915,Phage,0.992379069328308,NC_041915.1,Phage,0.99936056137085,NC_041915.1
NC_041916,Phage,0.94812661409378,NC_041916.1,Phage,0.919593751430512,NC_041916.1
NC_041917,Phage,0.922697067260742,NC_041917.1,Phage,0.934851825237274,NC_041917.1
NC_041918,Phage,0.887016713619232,NC_041918.1,Phage,0.896094739437103,NC_041918.2
NC_041919,Phage,0.918769836425781,NC_041919.1,Phage,0.948452651500702,NC_041919.1
NC_041920,Phage,0.966743111610412,NC_041920.1,Phage,0.974703907966614,NC_041920.1
NC_041921,Phage,0.915281057357788,NC_041921.1,Phage,0.902471423149109,NC_041921.1
NC_041922,Phage,0.995112061500549,NC_041922.1,Phage,0.998971521854401,NC_041922.1
NC_041923,Phage,0.974271416664123,NC_041923.1,Phage,0.983712911605835,NC_041923.1
NC_041924,Phage,0.843924283981323,NC_041924.1,Phage,0.684634804725647,NC_041924.1
NC_041925,Phage,0.92151391506195,NC_041925.1,Phage,0.927961826324463,NC_041925.1
NC_041926,Phage,0.83786803483963,NC_041926.1,Phage,0.981287658214569,NC_041926.1
NC_041927,Phage,0.803601741790771,NC_041927.1,Phage,0.817844152450562,NC_041927.1
NC_041928,Phage,0.988573253154754,NC_041928.1,Phage,0.998675107955933,NC_041928.1
NC_041929,Phage,0.919282436370849,NC_041929.1,Phage,0.920004606246948,NC_041929.1
NC_041930,Phage,0.970713973045349,NC_041930.1,Phage,0.898415923118591,NC_041930.1
NC_041931,Phage,0.95548677444458,NC_041931.1,Phage,0.905305862426758,NC_041931.1
NC_041932,Phage,0.975981175899505,NC_041932.1,Phage,0.965782225131988,NC_041932.1
NC_041933,Phage,0.978946149349212,NC_041933.1,Phage,0.969841778278351,NC_041933.1
NC_041934,Phage,0.963662266731262,NC_041934.1,Phage,0.950037240982056,NC_041934.1
NC_041935,Phage,0.838841140270233,NC_041935.1,Phage,0.804303824901581,NC_041935.1
NC_041936,Phage,0.972214579582214,NC_041936.1,Phage,0.979940176010132,NC_041936.1
NC_041937,Phage,0.931427538394928,NC_041937.1,Phage,0.948711097240448,NC_041937.1
NC_041938,Phage,0.998905420303344,NC_041938.1,Phage,0.995157957077026,NC_041938.1
NC_041939,Phage,0.994922041893005,NC_041939.1,Phage,0.999177277088165,NC_041939.1
NC_041940,Phage,0.976435899734497,NC_041940.1,Phage,0.941208064556122,NC_041940.1
NC_041941,Phage,0.988795816898346,NC_041941.1,Phage,0.994931876659393,NC_041941.1
NC_041942,Phage,0.992994785308837,NC_041942.1,Phage,0.964822173118591,NC_041942.1
NC_041943,Phage,0.970870196819305,NC_041943.1,Phage,0.959854066371918,NC_041943.1
NC_041944,Phage,0.975208699703216,NC_041944.1,Phage,0.978060781955719,NC_041944.1
NC_041945,Phage,0.98853850364685,NC_041945.1,Phage,0.987015664577484,NC_041945.1
NC_041946,Phage,0.973018765449523,NC_041946.1,Phage,0.968203961849213,NC_041946.1
NC_041947,Phage,0.997078716754913,NC_041947.1,Phage,0.996466934680939,NC_041947.1
NC_041948,Phage,0.987471282482147,NC_041948.1,Phage,0.971270561218262,NC_041948.1
NC_041949,Phage,0.989890336990356,NC_041949.1,Phage,0.99148827791214,NC_041949.1
NC_041950,Phage,0.921424508094787,NC_041950.1,Phage,0.886748850345612,NC_041950.1
NC_041951,Phage,0.991166055202484,NC_041951.1,Phage,0.999555289745331,NC_041951.1
NC_041952,Phage,0.990755259990692,NC_041952.1,Phage,0.97407591342926,NC_041952.1
NC_041953,Phage,0.874303579330444,NC_041953.1,Phage,0.888771593570709,NC_041953.1
NC_041954,Phage,0.854901611804962,NC_041954.1,Phage,0.99986857175827,NC_041954.1
NC_041955,Phage,0.795036733150482,NC_041955.1,Phage,0.999846756458282,NC_041955.1
NC_041956,Phage,0.905240774154663,NC_041956.1,Phage,0.9998978972435,NC_041956.1
NC_041957,Phage,0.814623534679412,NC_041957.1,Phage,0.999813199043274,NC_041957.1
NC_041958,Phage,0.946624398231506,NC_041958.1,Phage,0.941436529159546,NC_041958.1
NC_041959,Phage,0.985080897808075,NC_041959.1,Phage,0.986151337623596,NC_041959.1
NC_041960,Phage,0.980688333511352,NC_041960.1,Phage,0.97454434633255,NC_041960.1
NC_041961,Phage,0.88570499420166,NC_041961.1,Phage,0.887347877025604,NC_041961.1
NC_041962,Phage,0.893458247184753,NC_041962.1,Phage,0.879734098911285,NC_041962.1
NC_041963,Phage,0.996499896049499,NC_041963.1,Phage,0.970406711101532,NC_041963.1
NC_041964,Phage,0.805115878582,NC_041964.1,Phage,0.746962428092957,NC_041964.1
NC_041965,Phage,0.888553500175476,NC_041965.1,Phage,0.890234768390656,NC_041965.1
NC_041966,Phage,0.868150651454925,NC_041966.1,Phage,0.939778387546539,NC_041966.1
NC_041967,Phage,0.984816193580627,NC_041967.1,Phage,0.995577991008758,NC_041967.1
NC_041968,Phage,0.989388406276702,NC_041968.1,Phage,0.979418754577637,NC_041968.1
NC_041969,Phage,0.966887354850769,NC_041969.1,Phage,0.945485293865204,NC_041969.1
NC_041970,Phage,0.94097888469696,NC_041970.1,Phage,0.948888182640076,NC_041970.1
NC_041971,Phage,0.930243968963623,NC_041971.1,Phage,0.9671790599823,NC_041971.1
NC_041972,Phage,0.885300815105438,NC_041972.1,Phage,0.862906754016876,NC_041972.1
NC_041973,Phage,0.885316789150238,NC_041973.1,Phage,0.882282376289368,NC_041973.1
NC_041974,Phage,0.859966099262237,NC_041974.1,Phage,0.843481361865997,NC_041974.1
NC_041975,Phage,0.870426416397094,NC_041975.1,Phage,0.86442494392395,NC_041975.1
NC_041976,Phage,0.820838093757629,NC_041976.1,Phage,0.908822655677795,NC_041976.1
NC_041977,Phage,0.993075251579284,NC_041977.1,Phage,0.995863795280456,NC_041977.1
NC_041978,Phage,0.992163062095642,NC_041978.1,Phage,0.982955098152161,NC_041978.1
NC_041979,Phage,0.976262629032135,NC_041979.1,Phage,0.96724408864975,NC_041979.1
NC_041980,Phage,0.958934009075164,NC_041980.1,Phage,0.981074154376984,NC_041980.1
NC_041981,Phage,0.957323908805847,NC_041981.1,Phage,0.977339684963226,NC_041981.1
NC_041982,Phage,0.935882329940795,NC_041982.1,Phage,0.949333488941193,NC_041982.1
NC_041983,Phage,0.912333071231842,NC_041983.1,Phage,0.943690240383148,NC_041983.1
NC_041984,Phage,0.985512852668762,NC_041984.1,Phage,0.996427953243256,NC_041984.1
NC_041985,Phage,0.953198075294494,NC_041985.1,Phage,0.947914838790894,NC_041985.1
NC_041986,Phage,0.915277898311615,NC_041986.1,Phage,0.911148905754089,NC_041986.1
NC_041987,Phage,0.941541075706481,NC_041987.1,Phage,0.949142158031464,NC_041987.1
NC_041988,Phage,0.915177106857299,NC_041988.1,Phage,0.926616311073303,NC_041988.1
NC_041989,Phage,0.919659376144409,NC_041989.1,Phage,0.942113161087036,NC_041989.1
NC_041990,Phage,0.959992885589599,NC_041990.1,Phage,0.974444508552551,NC_041990.1
NC_041991,Phage,0.955560207366943,NC_041991.1,Phage,0.963163554668426,NC_041991.1
NC_041992,Phage,0.950454175472259,NC_041992.1,Phage,0.995033025741577,NC_041992.1
NC_041993,Phage,0.947332620620727,NC_041993.1,Phage,0.935633301734924,NC_041993.1
NC_041994,Phage,0.939151883125305,NC_041994.1,Phage,0.94669759273529,NC_041994.1
NC_041995,Phage,0.953904032707214,NC_041995.1,Phage,0.991004407405853,NC_041995.1
NC_041996,Phage,0.969944298267364,NC_041996.1,Phage,0.973127901554108,NC_041996.1
NC_041997,Phage,0.942494630813598,NC_041997.1,Phage,0.934668481349945,NC_041997.1
NC_041998,Phage,0.776400446891784,NC_041998.1,Phage,0.925389409065247,NC_041998.1
NC_041999,Phage,0.951780080795288,NC_041999.1,Phage,0.906196653842926,NC_041999.1
NC_042000,Phage,0.972185492515564,NC_042000.1,Phage,0.957533299922943,NC_042000.1
NC_042001,Phage,0.971283733844757,NC_042001.1,Phage,0.957756161689758,NC_042001.1
NC_042002,Phage,0.888374328613281,NC_042002.1,Phage,0.919070780277252,NC_042002.1
NC_042003,Phage,0.996539711952209,NC_042003.1,Phage,0.939595222473144,NC_042003.1
NC_042004,Phage,0.998189210891723,NC_042004.1,Phage,0.996515870094299,NC_042004.1
NC_042005,Phage,0.99634963274002,NC_042005.1,Phage,0.999809801578522,NC_042005.1
NC_042006,Phage,0.985900223255157,NC_042006.1,Phage,0.999594748020172,NC_042006.1
NC_042007,Phage,0.994629800319671,NC_042007.1,Phage,0.999953031539917,NC_042007.1
NC_042008,Phage,0.984967112541198,NC_042008.1,Phage,0.998600721359253,NC_042008.1
NC_042009,Phage,0.993959844112396,NC_042009.1,Phage,0.995501041412354,NC_042009.1
NC_042010,Phage,0.995485246181488,NC_042010.1,Phage,0.987620294094086,NC_042010.1
NC_042011,Phage,0.997337877750396,NC_042011.1,Phage,0.994223594665527,NC_042011.1
NC_042012,Phage,0.986575424671173,NC_042012.1,Phage,0.98541921377182,NC_042012.1
NC_042013,Phage,0.886140882968902,NC_042013.1,Phage,0.933650076389313,NC_042013.1
NC_042014,Phage,0.958089530467987,NC_042014.1,Phage,0.921470820903778,NC_042014.1
NC_042015,Phage,0.976419568061828,NC_042015.1,Phage,0.991853594779968,NC_042015.1
NC_042016,Phage,0.95070195198059,NC_042016.1,Phage,0.919910728931427,NC_042016.1
NC_042017,Phage,0.982188940048217,NC_042017.1,Phage,0.98952180147171,NC_042017.1
NC_042018,Phage,0.947470784187316,NC_042018.1,Phage,0.906159043312073,NC_042018.1
NC_042019,Phage,0.90721982717514,NC_042019.1,Phage,0.890384495258331,NC_042019.1
NC_042020,Phage,0.915170669555664,NC_042020.1,Phage,0.904210090637207,NC_042020.1
NC_042021,Phage,0.937710464000701,NC_042021.1,Phage,0.999542117118835,NC_042021.1
NC_042022,Phage,0.955952167510986,NC_042022.1,Phage,0.999785542488098,NC_042022.1
NC_042023,Phage,0.956712067127227,NC_042023.1,Phage,0.94757491350174,NC_042023.1
NC_042024,Phage,0.956150591373443,NC_042024.1,Phage,0.999961197376251,NC_042024.1
NC_042025,Phage,0.882170438766479,NC_042025.1,Phage,0.944270372390747,NC_042025.1
NC_042027,Phage,0.964252471923828,NC_042027.1,Phage,0.927815198898315,NC_042027.1
NC_042028,Phage,0.842059612274169,NC_042028.1,Phage,0.908005177974701,NC_042028.1
NC_042029,Phage,0.913378596305847,NC_042029.1,Phage,0.930300891399384,NC_042029.1
NC_042030,Phage,0.854137897491455,NC_042030.1,Phage,0.931131303310394,NC_042030.1
NC_042031,Phage,0.972815573215484,NC_042031.1,Phage,0.970140874385834,NC_042031.1
NC_042032,Phage,0.946258068084716,NC_042032.1,Phage,0.961472392082214,NC_042032.1
NC_042033,Phage,0.988683402538299,NC_042033.1,Phage,0.953498542308807,NC_042033.1
NC_042034,Phage,0.928346991539001,NC_042034.1,Phage,0.909080445766449,NC_042034.1
NC_042035,Phage,0.928845286369323,NC_042035.1,Phage,0.909318923950195,NC_042035.1
NC_042036,Phage,0.947192847728729,NC_042036.1,Phage,0.951405763626099,NC_042036.1
NC_042038,Phage,0.965989828109741,NC_042038.1,Phage,0.943650841712952,NC_042038.1
NC_042039,Phage,0.975076019763946,NC_042039.1,Phage,0.985819578170776,NC_042039.1
NC_042040,Phage,0.970172405242919,NC_042040.1,Phage,0.964951813220978,NC_042040.1
NC_042041,Phage,0.921473503112793,NC_042041.1,Phage,0.936937510967255,NC_042041.1
NC_042042,Phage,0.936520993709564,NC_042042.1,Phage,0.983146607875824,NC_042042.1
NC_042043,Phage,0.99516224861145,NC_042043.1,Phage,0.95285576581955,NC_042043.1
NC_042044,Phage,0.952581703662872,NC_042044.1,Phage,0.956605553627014,NC_042044.1
NC_042045,Phage,0.99735552072525,NC_042045.1,Phage,0.999908030033112,NC_042045.1
NC_042046,Phage,0.969924628734588,NC_042046.1,Phage,0.956323325634003,NC_042046.1
NC_042047,Phage,0.977441787719726,NC_042047.1,Phage,0.987804412841797,NC_042047.1
NC_042048,Phage,0.997867166996002,NC_042048.1,Phage,0.982505142688751,NC_042048.1
NC_042049,Phage,0.96868747472763,NC_042049.1,Phage,0.999661862850189,NC_042049.1
NC_042050,Phage,0.851809442043304,NC_042050.1,Phage,0.877475738525391,NC_042050.1
NC_042051,Phage,0.968481063842773,NC_042051.1,Phage,0.898306667804718,NC_042051.1
NC_042052,Phage,0.977666616439819,NC_042052.1,Phage,0.901289105415344,NC_042052.1
NC_042053,Phage,0.992052316665649,NC_042053.1,Phage,0.995018839836121,NC_042053.1
NC_042054,Phage,0.991781771183013,NC_042054.1,Phage,0.999063611030579,NC_042054.1
NC_042055,Phage,0.923362553119659,NC_042055.1,Phage,0.973019421100616,NC_042055.1
NC_042056,Phage,0.947580397129058,NC_042056.1,Phage,0.929286599159241,NC_042056.1
NC_042057,Phage,0.735083580017089,NC_042057.1,Phage,0.82402765750885,NC_042057.1
NC_042062,Phage,0.800640821456909,NC_042062.1,Phage,0.925388276576996,NC_042062.1
NC_042063,Phage,0.858922958374023,NC_042063.1,Phage,0.834934651851654,NC_042063.1
NC_042064,Phage,0.980501532554626,NC_042064.1,Phage,0.862049221992493,NC_042064.1
NC_042067,Phage,0.965095281600952,NC_042067.1,Phage,0.97750723361969,NC_042067.1
NC_042068,Phage,0.891825675964355,NC_042068.1,Phage,0.632992148399353,NC_042068.1
NC_042069,Phage,0.937564730644226,NC_042069.1,Phage,0.999592423439026,NC_042069.1
NC_042070,Phage,0.927412688732147,NC_042070.1,Phage,0.996380269527435,NC_042070.1
NC_042071,Phage,0.884126782417297,NC_042071.1,Phage,0.785467088222504,NC_042071.1
NC_042072,Phage,0.597149431705474,NC_042072.1,Phage,0.60186380147934,NC_042072.1
NC_042073,Bacteria,0.281901746988296,NC_042073.1,Phage,0.512049555778503,NC_042073.1
NC_042074,Phage,0.974951744079589,NC_042074.1,Phage,0.944756507873535,NC_042074.1
NC_042075,Phage,0.989233791828155,NC_042075.1,Phage,0.999941289424896,NC_042075.1
NC_042076,Phage,0.997935771942138,NC_042076.1,Phage,0.993103504180908,NC_042076.1
NC_042077,Phage,0.971065402030944,NC_042077.1,Phage,0.979548931121826,NC_042077.1
NC_042078,Phage,0.98085218667984,NC_042078.1,Phage,0.998362004756928,NC_042078.1
NC_042079,Phage,0.9057337641716,NC_042079.1,Phage,0.949785590171814,NC_042079.1
NC_042080,Phage,0.922041118144989,NC_042080.1,Phage,0.859987020492554,NC_042080.1
NC_042081,Phage,0.871261835098266,NC_042081.1,Phage,0.916404724121094,NC_042081.1
NC_042082,Phage,0.965481758117675,NC_042082.1,Phage,0.925669431686401,NC_042082.1
NC_042083,Phage,0.824386715888977,NC_042083.1,Phage,0.884173154830933,NC_042083.1
NC_042084,Phage,0.956974267959594,NC_042084.1,Phage,0.930006861686706,NC_042084.1
NC_042085,Phage,0.981151461601257,NC_042085.1,Phage,0.976307153701782,NC_042085.1
NC_042086,Phage,0.966187536716461,NC_042086.1,Phage,0.954853713512421,NC_042086.1
NC_042087,Phage,0.968265295028686,NC_042087.1,Phage,0.957905471324921,NC_042087.1
NC_042088,Phage,0.879963397979736,NC_042088.1,Phage,0.815313935279846,NC_042088.1
NC_042089,Phage,0.930229663848877,NC_042089.1,Phage,0.876748144626617,NC_042089.1
NC_042090,Phage,0.972367584705352,NC_042090.1,Phage,0.955970942974091,NC_042090.1
NC_042091,Phage,0.927819669246673,NC_042091.1,Phage,0.883630990982056,NC_042091.1
NC_042092,Phage,0.958063066005706,NC_042092.1,Phage,0.969903111457825,NC_042092.1
NC_042093,Phage,0.944358885288238,NC_042093.1,Phage,0.961359739303589,NC_042093.1
NC_042094,Phage,0.968457996845245,NC_042094.1,Phage,0.926203072071075,NC_042094.1
NC_042095,Phage,0.986233115196228,NC_042095.1,Phage,0.9664386510849,NC_042095.1
NC_042096,Phage,0.978779137134552,NC_042096.1,Phage,0.998669862747192,NC_042096.1
NC_042097,Phage,0.975454151630401,NC_042097.1,Phage,0.998167991638184,NC_042097.1
NC_042098,Phage,0.886365473270416,NC_042098.1,Phage,0.885898470878601,NC_042098.1
NC_042099,Phage,0.912627637386322,NC_042099.1,Phage,0.884945094585419,NC_042099.1
NC_042100,Phage,0.964455306529998,NC_042100.1,Phage,0.950287580490112,NC_042100.1
NC_042101,Phage,0.953842163085937,NC_042101.1,Phage,0.988280892372131,NC_042101.1
NC_042102,Phage,0.912962794303894,NC_042102.1,Phage,0.910118997097015,NC_042102.1
NC_042103,Phage,0.991643249988555,NC_042103.1,Phage,0.957990229129791,NC_042103.1
NC_042104,Phage,0.996271133422851,NC_042104.1,Phage,0.99916809797287,NC_042104.1
NC_042105,Phage,0.972022056579589,NC_042105.1,Phage,0.948501646518707,NC_042105.1
NC_042106,Phage,0.942934453487396,NC_042106.1,Phage,0.937556982040405,NC_042106.1
NC_042107,Phage,0.986457467079162,NC_042107.1,Phage,0.956951856613159,NC_042107.1
NC_042108,Phage,0.960800170898437,NC_042108.1,Phage,0.982963383197784,NC_042108.1
NC_042109,Phage,0.991317868232727,NC_042109.1,Phage,0.996246337890625,NC_042109.1
NC_042110,Phage,0.9484703540802,NC_042110.1,Phage,0.931752145290375,NC_042110.1
NC_042111,Phage,0.952721536159515,NC_042111.1,Phage,0.957988560199738,NC_042111.1
NC_042112,Phage,0.886125206947326,NC_042112.1,Phage,0.941075801849365,NC_042112.1
NC_042113,Phage,0.988602399826049,NC_042113.1,Phage,0.996401906013489,NC_042113.1
NC_042114,Phage,0.974944472312927,NC_042114.1,Phage,0.997523665428162,NC_042114.1
NC_042115,Phage,0.988509595394134,NC_042115.1,Phage,0.999464154243469,NC_042115.1
NC_042116,Phage,0.862284541130065,NC_042116.1,Phage,0.901877105236053,NC_042116.1
NC_042117,Phage,0.989192843437194,NC_042117.1,Phage,0.999945282936096,NC_042117.1
NC_042118,Phage,0.994948744773864,NC_042118.1,Phage,0.999964654445648,NC_042118.1
NC_042119,Phage,0.987704396247863,NC_042119.1,Phage,0.99998551607132,NC_042119.1
NC_042120,Phage,0.941719770431518,NC_042120.1,Phage,0.903334081172943,NC_042120.1
NC_042121,Phage,0.965160965919494,NC_042121.1,Phage,0.932928442955017,NC_042121.1
NC_042122,Phage,0.955017149448394,NC_042122.1,Phage,0.967012822628021,NC_042122.1
NC_042123,Phage,0.928861021995544,NC_042123.1,Phage,0.942125201225281,NC_042123.1
NC_042124,Phage,0.991286158561706,NC_042124.1,Phage,0.927850604057312,NC_042124.1
NC_042125,Phage,0.955110788345336,NC_042125.1,Phage,0.949510812759399,NC_042125.1
NC_042126,Phage,0.95078819990158,NC_042126.1,Phage,0.966544091701508,NC_042126.1
NC_042127,Phage,0.940789222717285,NC_042127.1,Phage,0.952280580997467,NC_042127.1
NC_042128,Phage,0.542447984218597,NC_042128.1,Phage,0.684436619281769,NC_042128.1
NC_042129,Phage,0.952037870883941,NC_042129.1,Phage,0.975129246711731,NC_042129.1
NC_042130,Phage,0.972330868244171,NC_042130.1,Phage,0.985970556735992,NC_042130.1
NC_042131,Phage,0.999282002449035,NC_042131.1,Phage,0.958318948745728,NC_042131.1
NC_042132,Phage,0.817149937152862,NC_042132.1,Phage,0.784391939640045,NC_042132.1
NC_042137,Phage,0.967103719711303,NC_042137.1,Phage,0.93637204170227,NC_042137.1
NC_042138,Phage,0.963807523250579,NC_042138.1,Phage,0.967983782291412,NC_042138.1
NC_042139,Phage,0.708163082599639,NC_042139.2,Phage,0.921988606452942,NC_042139.2
NC_042140,Phage,0.991112351417541,NC_042140.1,Phage,0.984379708766937,NC_042140.1
NC_042308,Phage,0.935739457607269,NC_042308.1,Phage,0.945225477218628,NC_042308.1
NC_042309,Phage,0.941993057727813,NC_042309.1,Phage,0.971987426280975,NC_042309.1
NC_042310,Phage,0.945209562778472,NC_042310.1,Phage,0.957090616226196,NC_042310.1
NC_042311,Phage,0.958568513393402,NC_042311.1,Phage,0.960868239402771,NC_042311.1
NC_042312,Phage,0.958855986595153,NC_042312.1,Phage,0.999729216098785,NC_042312.1
NC_042313,Phage,0.988938212394714,NC_042313.1,Phage,0.981240332126617,NC_042313.1
NC_042314,Phage,0.949993908405304,NC_042314.1,Phage,0.971823990345001,NC_042314.1
NC_042315,Phage,0.908837437629699,NC_042315.1,Phage,0.92737078666687,NC_042315.1
NC_042316,Phage,0.890127003192901,NC_042316.1,Phage,0.885482430458069,NC_042316.1
NC_042317,Phage,0.846852779388427,NC_042317.1,Phage,0.871509075164795,NC_042317.1
NC_042318,Phage,0.936889946460723,NC_042318.1,Phage,0.925908327102661,NC_042318.1
NC_042319,Phage,0.922401428222656,NC_042319.1,Phage,0.945606410503387,NC_042319.1
NC_042320,Phage,0.946191906929016,NC_042320.1,Phage,0.960022509098053,NC_042320.1
NC_042321,Phage,0.96419358253479,NC_042321.1,Phage,0.972143650054932,NC_042321.1
NC_042322,Phage,0.848399639129638,NC_042322.1,Phage,0.838350832462311,NC_042322.1
